,SI,t
0,-3.962901900140699e-05,60.0
1,-3.9337272543983624e-05,61.0
2,-3.9096427425426134e-05,62.0
3,-3.890303216617799e-05,63.0
4,-3.874655612288387e-05,64.0
5,-3.861944833857793e-05,65.0
6,-3.851599022055679e-05,66.0
7,-3.843185156563676e-05,67.0
8,-3.836365063598024e-05,68.0
9,-3.830869833569919e-05,69.0
10,-3.826482368014468e-05,70.0
11,-3.823025160883171e-05,71.0
12,-3.8203515473982e-05,72.0
13,-3.818339306195033e-05,73.0
14,-3.8168858916755636e-05,74.0
15,-3.815904815675493e-05,75.0
16,-3.815322851943004e-05,76.0
17,-3.815077838033768e-05,77.0
18,-3.8151169170519947e-05,78.0
19,-3.815395108092704e-05,79.0
20,-3.815874126495967e-05,80.0
21,-3.816521397626628e-05,81.0
22,-3.817309223760473e-05,82.0
23,-3.818214074752088e-05,83.0
24,-3.819215980855772e-05,84.0
25,-3.820298011364379e-05,85.0
26,-3.821445826353909e-05,86.0
27,-3.822647291310638e-05,87.0
28,-3.823892146157955e-05,88.0
29,-3.825171721461007e-05,89.0
30,-3.826478695548808e-05,90.0
31,-3.827806887071739e-05,91.0
32,-3.829151078177138e-05,92.0
33,-3.830506864074894e-05,93.0
34,-3.831870525295436e-05,94.0
35,-3.833238919418182e-05,95.0
36,-3.834609389469969e-05,96.0
37,-3.835979686561736e-05,97.0
38,-3.837347904653672e-05,98.0
39,-3.838712425621688e-05,99.0
40,-3.8400718730485716e-05,100.0
41,-3.841425073385986e-05,101.0
42,-3.842771023331156e-05,102.0
43,-3.8441088624356836e-05,103.0
44,-3.845437850114766e-05,104.0
45,-3.846757346354856e-05,105.0
46,-3.84806679552831e-05,106.0
47,-3.84936571281734e-05,107.0
48,-3.850653672828744e-05,108.0
49,-3.851930300047658e-05,109.0
50,-3.853195260834669e-05,110.0
51,-3.8544482567180174e-05,111.0
52,-3.855689018772268e-05,112.0
53,-3.856917302908314e-05,113.0
54,-3.858132885927683e-05,114.0
55,-3.85933556221771e-05,115.0
56,-3.8605251409840124e-05,116.0
57,-3.8617014439333585e-05,117.0
58,-3.8628643033340574e-05,118.0
59,-3.864016587133775e-05,119.0
60,-3.929684753614226e-05,120.0
61,-3.993291443388952e-05,121.0
62,-4.054673876650057e-05,122.0
63,-4.114180755775246e-05,123.0
64,-4.172090184369337e-05,124.0
65,-4.2286281985854e-05,125.0
66,-4.283981449786337e-05,126.0
67,-4.338306118681175e-05,127.0
68,-4.391734325115249e-05,128.0
69,-4.444378829846771e-05,129.0
70,-4.496336546018784e-05,130.0
71,-4.5476912064555916e-05,131.0
72,-4.5985154239842816e-05,132.0
73,-4.648872310797445e-05,133.0
74,-4.6988167749997756e-05,134.0
75,-4.7483965793456046e-05,135.0
76,-4.7976532235960385e-05,136.0
77,-4.84662269474881e-05,137.0
78,-4.8953361166924754e-05,138.0
79,-4.943820321415916e-05,139.0
80,-4.9920983569964315e-05,140.0
81,-5.0401899426592945e-05,141.0
82,-5.088111877827841e-05,142.0
83,-5.135878409908612e-05,143.0
84,-5.18350156426433e-05,144.0
85,-5.2309914391449125e-05,145.0
86,-5.2783564680508454e-05,146.0
87,-5.3256036519213326e-05,147.0
88,-5.372738763553091e-05,148.0
89,-5.419766526686437e-05,149.0
90,-5.46669077220038e-05,150.0
91,-5.513514573815907e-05,151.0
92,-5.56024036560593e-05,152.0
93,-5.606870043443445e-05,153.0
94,-5.653405052281631e-05,154.0
95,-5.699846460854088e-05,155.0
96,-5.746195025053633e-05,156.0
97,-5.7924512409975355e-05,157.0
98,-5.838615388759833e-05,158.0
99,-5.884687568008127e-05,159.0
100,-5.930667727154227e-05,160.0
101,-5.9765556877717104e-05,161.0
102,-6.0223511657401874e-05,162.0
103,-6.0680537899903643e-05,163.0
104,-6.113663119185176e-05,164.0
105,-6.159178656390553e-05,165.0
106,-6.204599861747135e-05,166.0
107,-6.249926163225685e-05,167.0
108,-6.295156965629565e-05,168.0
109,-6.34029165805463e-05,169.0
110,-6.385329620027821e-05,170.0
111,-6.430270226532674e-05,171.0
112,-6.475112852106347e-05,172.0
113,-6.519856874165574e-05,173.0
114,-6.564496183458401e-05,174.0
115,-6.58074066442786e-05,175.0
116,-6.594773869904936e-05,176.0
117,-6.60653972145546e-05,177.0
118,-6.616416424912907e-05,178.0
119,-6.624711201924215e-05,179.0
120,-6.578630029269307e-05,180.0
121,-6.535226559004809e-05,181.0
122,-6.49460520218278e-05,182.0
123,-6.456212632796169e-05,183.0
124,-6.419631546086603e-05,184.0
125,-6.384540292540353e-05,185.0
126,-6.350686237254365e-05,186.0
127,-6.317867669283962e-05,187.0
128,-6.285921215110462e-05,188.0
129,-6.254712896852986e-05,189.0
130,-6.224131663020598e-05,190.0
131,-6.19408463126942e-05,191.0
132,-6.164493536822e-05,192.0
133,-6.135292041628151e-05,193.0
134,-6.106423664673313e-05,194.0
135,-6.077840164432914e-05,195.0
136,-6.049500253033802e-05,196.0
137,-6.021368555880067e-05,197.0
138,-5.993414755011181e-05,198.0
139,-5.9656128721895345e-05,199.0
140,-5.9379406605242086e-05,200.0
141,-5.9103790825879066e-05,201.0
142,-5.8829118593886646e-05,202.0
143,-5.855525078924012e-05,203.0
144,-5.828206855936306e-05,204.0
145,-5.800947036352936e-05,205.0
146,-5.7737369410800465e-05,206.0
147,-5.7465691445777275e-05,207.0
148,-5.7194372841531156e-05,208.0
149,-5.6923358962783485e-05,209.0
150,-5.6652602765382975e-05,210.0
151,-5.638206360078877e-05,211.0
152,-5.6111706196907774e-05,212.0
153,-5.5841499789620974e-05,213.0
154,-5.557141738304552e-05,214.0
155,-5.530143512116596e-05,215.0
156,-5.503153175836545e-05,216.0
157,-5.4761688220182374e-05,217.0
158,-5.449188724659821e-05,218.0
159,-5.422211310776475e-05,219.0
160,-5.3952351378102654e-05,220.0
161,-5.3682588752606724e-05,221.0
162,-5.3412812891216826e-05,222.0
163,-5.314301228220319e-05,223.0
164,-5.287317612062067e-05,224.0
165,-5.260329420089772e-05,225.0
166,-5.233335682345043e-05,226.0
167,-5.206335471485843e-05,227.0
168,-5.179327896054574e-05,228.0
169,-5.152312094850712e-05,229.0
170,-5.125287232249499e-05,230.0
171,-5.098252494314733e-05,231.0
172,-5.0712070855698064e-05,232.0
173,-5.044150226311339e-05,233.0
174,-5.017086877446467e-05,234.0
175,-5.0145379978549895e-05,235.0
176,-5.0134735581622893e-05,236.0
177,-5.0139349706016886e-05,237.0
178,-5.015678661953158e-05,238.0
179,-5.018508941638054e-05,239.0
180,-5.022266184372004e-05,240.0
181,-5.0268184751607114e-05,241.0
182,-5.032055576490683e-05,242.0
183,-5.037884491045507e-05,243.0
184,-5.0442261436115624e-05,244.0
185,-5.051012861978048e-05,245.0
186,-5.058186436678864e-05,246.0
187,-5.065696605143225e-05,247.0
188,-5.07349985004515e-05,248.0
189,-5.0815584321189796e-05,249.0
190,-5.0898395992128424e-05,250.0
191,-5.098314928868418e-05,251.0
192,-5.106959773119528e-05,252.0
193,-5.1157527826828074e-05,253.0
194,-5.1246754940349266e-05,254.0
195,-5.133711967541027e-05,255.0
196,-5.142848468181085e-05,256.0
197,-5.1520731827980955e-05,257.0
198,-5.161375969397671e-05,258.0
199,-5.1707481350662574e-05,259.0
200,-5.1801822397138305e-05,260.0
201,-5.18967192322383e-05,261.0
202,-5.199211753814949e-05,262.0
203,-5.208797095558125e-05,263.0
204,-5.2184223763528926e-05,264.0
205,-5.215141667847994e-05,265.0
206,-5.2103912873737044e-05,266.0
