,Gender,Gt,Operative,SI,Score,k_Pt,k_SIt,k_ut,t
1,male,0.8787503482687498,True,0.0001786886466846822,85.71428571428571,0.2589787496013762,157.00433503518818,999.9999999999998,2328
2,male,0.8629724360616198,True,0.0001272935005499732,100.0,0.008244837213383998,323.22712584118864,21.415378214228344,4676
3,male,0.9555045897501221,True,0.00016834572471515188,70.0,0.08665797469721688,1139.5951932980086,61.884328521364175,8659
4,female,1.0907633163967194,True,0.00010433827890041711,100.0,0.004835022672882454,10000.00000000001,999.9999999999998,642
5,male,0.8327476657974309,True,0.00031056902134135464,0.0,0.005003022526365895,297.17070383090123,1.7810425559368526,998
6,male,0.9601456145880446,True,5.7917340068615806e-05,100.0,3.1591629400618256e-05,188.71850907417462,62.697335464296934,503
7,female,0.7957763809233963,True,0.0005087830370058296,64.0,1.0,2020.5035768846537,65.06702044201603,4053
8,female,0.8197554380703288,True,0.00032562940542372554,92.6829268292683,0.08653552230083406,498.2273724129891,999.9999999999998,6370
9,male,0.8225531643126075,True,0.0003257985476989258,0.0,1.0,3472.5733410163934,5.496548273145758,842
10,male,0.8326813106422524,True,0.0002535916313406696,63.33333333333333,1.0,1255.6890293741099,999.9999999999998,4793
13,female,0.942119267104653,True,8.494354176030086e-05,85.71428571428571,0.0017161876966114598,242.26748011923453,0.4385965795068038,802
14,male,0.8966718013629629,True,0.0002382378614713012,45.45454545454545,3.2961089100881816e-05,9286.388228789881,99.00181830697558,15655
15,male,0.8174855097576998,True,0.0003501308724976523,0.0,0.048644243921524145,613.2466536475943,13.85703835575655,2664
16,female,0.8795167482214408,True,0.00010971254950688347,80.0,9.850752281495829e-05,304.4638751430918,1.8802660309402446,602
17,male,0.8391801457553817,True,0.00032113893407133043,62.62626262626263,0.1657320929594695,10000.00000000001,999.9999999999998,11002
19,male,1.1019242318731175,True,2.1293744452158306e-05,100.0,0.0003550258629291771,393.30101239960646,8.836051591064964,198
20,male,0.8585200942357537,True,0.0002718021364179738,45.98930481283423,0.5896761468819385,8588.658053722727,287.3783206225383,23207
21,male,0.8646950205161483,True,0.0002329926666974851,66.66666666666666,1.0,333.38316701490413,999.9999999999998,2532
22,male,0.935348228994625,True,0.00015596866879655536,0.0,0.00026058627142006247,599.9896750000939,17.450169686295727,144
23,female,0.9684636897475088,True,3.253967108834773e-05,92.85714285714286,3.098025637025407e-06,10000.00000000001,2.778475658992467,1518
24,female,0.8313954815627973,True,0.00032764791145650194,68.75,0.20856603947858338,3032.1670618044627,505.4576103510771,7982
25,female,0.8732287719020488,True,9.348832393390999e-05,0.0,0.10000000000000002,999.9999999999998,0.999999999999638,547
26,male,0.9204792219022496,True,0.00013129146475849475,100.0,0.025813534184381957,10000.00000000001,999.9999999999998,294
27,male,0.9381423580528407,True,0.00011434121658727315,91.66666666666666,0.053970218516078236,10000.00000000001,999.9999999999998,1046
28,male,0.8744148807631508,True,0.00020958249342582961,88.75,0.1860685591881431,271.9678103539543,40.799377637528096,10906
30,male,0.8673317422146329,True,0.0002554236348765168,63.63636363636363,1.0,284.7093075953043,999.9999999999998,2659
31,male,1.0699395432006182,True,6.07723317266341e-06,0.0,0.10000000000000002,999.9999999999998,1.0,403
32,male,0.9039359820632402,True,0.0002126387788561935,57.03703703703704,0.12970534440406348,2296.300806215631,123.89796591279271,18896
33,female,0.8496811287139895,True,0.00022824684112508919,82.75862068965517,0.24761870782199477,10000.00000000001,21.826665946709024,3544
34,male,0.8493091404359245,True,0.00019030506619071216,91.66666666666666,6.099528750067922e-05,688.5351307187766,28.962805421739045,1657
35,male,0.843572328731143,True,0.00022068191683248436,84.21052631578947,1.0,482.9550718845578,999.9999999999998,2907
36,male,0.8144005904128416,True,0.00030461955609543007,64.28571428571429,0.06048671047305436,2889.4449730242195,999.9999999999998,2266
37,male,0.8464157552679906,True,0.000333624353935491,73.91304347826086,2.4784588265295717e-05,213.24215205307377,999.9999999999998,5227
38,female,0.8422648461861068,True,0.00026118105010735834,86.90476190476191,1.0,177.15735525137612,13.56649100247729,11704
39,male,0.8884472113699567,True,0.0001724216507201935,0.0,0.06746398495072688,7245.7032234838225,1.6993494745068665,1330
40,male,0.8246761405493807,True,0.0003592646924943639,88.88888888888889,0.11960821544483537,495.018724390073,999.9999999999998,1693
41,male,0.9050826452105385,True,8.127282693696509e-05,100.0,0.00277255231653143,100.00000000000004,88.54510864769237,655
